Data,UF,Total_Focos,Qtd_Municipios_Com_Fogo,Media_Focos_Mun_Com_Fogo,FRP_Medio,FRP_Soma,FRP_Maximo,Risco_Fogo_Medio,Dias_Secos_Medio,Precipitacao_Media,Temp_Max_Media,Temp_Min_Media,Umidade_Relativa_Media,VPD_Medio,Evapotranspiracao_Media,Radiacao_Solar_Media,Velocidade_Vento_Media,CABIXI_15124009,PIMENTEIRAS_15130000,PEDRAS_NEGRAS_15150000,PRINCIPE_DA_BEIRA_15200000,BOCA_DO_POMPEU_-_JUSANTE_15248010,GUAJARÁ-MIRIM_15250000,PORTO_VELHO_15400000,FAZENDA_FLOR_DO_CAMPO_15552600,PIMENTA_BUENO_15558000,JIPARANÁ_15560000
2006-03,RO,28.0,9.0,3.11,10.47,251.4,22.5,-,-,256.17,31.49,22.62,86.81,0.47,100.34,461.27,0.75,439.42,699.77,711.76,1238.9,509.23,1080.23,1556.45,434.98,774.58,962.23
2006-04,RO,16.0,9.0,1.78,11.72,187.6,39.3,-,-,201.32,31.17,21.83,86.17,0.48,91.88,432.93,0.75,431.76,679.1,730.02,1296.83,521.3,1090.9,1548.33,386.02,693.05,935.35
2006-05,RO,192.0,35.0,5.49,17.96,2586.3,188.0,-,-,64.46,30.17,19.25,81.53,0.57,92.66,466.69,0.83,357.52,624.74,675.02,1253.47,371.68,1012.84,1177.77,333.23,547.52,762.8
2006-06,RO,475.0,44.0,10.8,26.97,9521.3,783.0,-,-,6.21,32.78,19.19,76.63,0.78,105.17,528.33,0.87,297.22,519.0,619.77,990.25,276.45,831.93,849.88,296.45,470.47,707.7
2006-07,RO,2790.0,47.0,59.36,33.35,61893.4,1406.9,-,-,4.45,33.75,18.84,71.64,0.96,115.78,556.92,0.93,253.56,411.94,490.77,698.18,166.35,729.75,590.77,278.37,424.6,673.44
2006-08,RO,19849.0,52.0,381.71,57.49,663930.9,2845.0,-,-,10.54,35.28,19.79,69.26,1.13,116.41,549.47,0.62,225.77,347.73,319.12,468.26,109.63,609.32,370.16,266.26,397.08,650.57
2006-09,RO,45906.0,52.0,882.81,67.04,1808070.8,4562.2,-,-,76.32,34.38,20.71,70.57,1.09,116.92,496.67,0.95,229.04,323.0,267.62,404.63,73.13,564.1,260.92,264.47,393.12,646.79
2006-10,RO,3961.0,49.0,80.84,56.58,142308.0,3244.9,-,-,179.93,33.11,22.54,80.88,0.72,113.98,505.48,0.84,320.42,365.65,281.03,416.51,70.89,584.41,406.69,281.85,439.08,699.91
2006-11,RO,1934.0,51.0,37.92,51.19,66348.0,1015.4,-,-,173.99,32.34,22.27,80.67,0.71,114.87,522.21,0.77,318.07,399.7,354.4,474.67,89.9,711.15,755.47,278.82,418.61,721.7
2006-12,RO,50.0,15.0,3.33,16.6,780.3,87.1,-,-,283.42,31.02,22.54,85.95,0.5,104.23,478.8,0.78,408.76,453.73,429.71,615.97,202.08,799.73,996.45,322.95,533.56,797.35
2007-01,RO,72.0,18.0,4.0,12.63,631.7,52.2,-,-,315.64,31.6,22.71,85.76,0.52,113.1,520.16,0.88,439.76,581.03,561.4,803.15,388.94,920.65,1232.95,388.05,703.92,899.97
2007-02,RO,15.0,7.0,2.14,15.59,155.9,47.5,-,-,261.8,30.97,22.01,85.88,0.49,95.34,439.35,0.92,441.61,648.91,648.73,982.78,503.3,998.82,1340.77,414.54,872.46,1024.51
2007-03,RO,32.0,16.0,2.0,14.4,446.3,53.5,-,-,255.44,31.81,21.75,84.46,0.55,111.83,527.21,0.71,438.53,666.79,692.04,1175.17,529.74,1075.47,1538.56,376.82,730.87,951.73
2007-04,RO,25.0,11.0,2.27,9.85,206.9,30.0,-,-,164.14,32.14,21.42,83.96,0.57,102.71,490.82,0.72,403.52,627.31,679.87,1284.32,481.65,1145.05,1582.7,331.67,600.6,825.78
2007-05,RO,100.0,29.0,3.45,18.01,1459.0,100.4,-,-,69.22,30.68,18.74,81.49,0.57,96.76,493.09,0.84,315.98,540.16,632.9,1266.23,413.98,1150.92,1419.15,299.69,496.89,739.68
2007-06,RO,550.0,42.0,13.1,23.52,10678.2,504.4,-,-,2.62,32.41,17.29,75.81,0.76,100.98,530.41,0.73,261.77,423.21,526.8,1048.42,258.88,1005.22,1079.83,278.02,435.27,687.87
2007-07,RO,1436.0,46.0,31.22,30.56,29616.5,780.2,-,-,28.4,32.41,17.69,71.99,0.88,109.08,544.97,0.92,234.64,360.6,356.58,648.19,152.92,724.45,680.52,269.9,409.24,666.65
2007-08,RO,19143.0,51.0,375.35,58.83,714886.6,3275.9,-,-,2.85,34.08,17.47,64.76,1.17,125.73,583.64,0.97,213.35,324.5,276.39,451.71,102.15,603.97,467.47,259.77,383.82,644.02
